ds,y,date,Date
2023-10-04,27799.394531,,
2023-10-05,27415.912109,,
2023-10-06,27946.597656,,
2023-10-07,27968.839844,,
2023-10-08,27935.089844,,
2023-10-09,27583.677734,,
2023-10-10,27391.019531,,
2023-10-11,26873.320313,,
2023-10-12,26756.798828,,
2023-10-13,26862.375,,
2023-10-14,26861.707031,,
2023-10-15,27159.652344,,
2023-10-16,28519.466797,,
2023-10-17,28415.748047,,
2023-10-18,28328.341797,,
2023-10-19,28719.806641,,
2023-10-20,29682.949219,,
2023-10-21,29918.412109,,
2023-10-22,29993.896484,,
2023-10-23,33086.234375,,
2023-10-24,33901.527344,,
2023-10-25,34502.820313,,
2023-10-26,34156.648438,,
2023-10-27,33909.800781,,
2023-10-28,34089.574219,,
2023-10-29,34538.480469,,
2023-10-30,34502.363281,,
2023-10-31,34667.78125,,
2023-11-01,35437.253906,,
2023-11-02,34938.242188,,
2023-11-03,34732.324219,,
2023-11-04,35082.195313,,
2023-11-05,35049.355469,,
2023-11-06,35037.371094,,
2023-11-07,35443.5625,,
2023-11-08,35655.277344,,
2023-11-09,36693.125,,
2023-11-10,37313.96875,,
2023-11-11,37138.050781,,
2023-11-12,37054.519531,,
2023-11-13,36502.355469,,
2023-11-14,35537.640625,,
2023-11-15,37880.582031,,
2023-11-16,36154.769531,,
2023-11-17,36596.683594,,
2023-11-18,36585.703125,,
2023-11-19,37386.546875,,
2023-11-20,37476.957031,,
2023-11-21,35813.8125,,
2023-11-22,37432.339844,,
2023-11-23,37289.621094,,
2023-11-24,37720.28125,,
2023-11-25,37796.792969,,
2023-11-26,37479.121094,,
2023-11-27,37254.167969,,
2023-11-28,37831.085938,,
2023-11-29,37858.492188,,
2023-11-30,37712.746094,,
2023-12-01,38688.75,,
2023-12-02,39476.332031,,
2023-12-03,39978.390625,,
2023-12-04,41980.097656,,
2023-12-05,44080.648438,,
2023-12-06,43746.445313,,
2023-12-07,43292.664063,,
2023-12-08,44166.601563,,
2023-12-09,43725.984375,,
2023-12-10,43779.699219,,
2023-12-11,41243.832031,,
2023-12-12,41450.222656,,
2023-12-13,42890.742188,,
2023-12-14,43023.972656,,
2023-12-15,41929.757813,,
2023-12-16,42240.117188,,
2023-12-17,41364.664063,,
2023-12-18,42623.539063,,
2023-12-19,42270.527344,,
2023-12-20,43652.25,,
2023-12-21,43869.152344,,
2023-12-22,43997.902344,,
2023-12-23,43798.25,,
